Date,Tata Motors PV,Maruti Suzuki,Mahindra & Mahindra,Bajaj Auto,Ashok Leyland,Hyundai Motor India,Toyota Motor,Volkswagen AG,NIFTY 50,NIFTY Auto
2025-11-10,410.45001220703125,15583.0,3663.89990234375,8772.0,141.32156372070312,2356.199951171875,203.94000244140625,11.1899995803833,25574.349609375,26859.849609375
2025-11-11,407.6000061035156,15645.0,3749.10009765625,8895.0,145.0562286376953,2356.0,205.99000549316406,11.510000228881836,25694.94921875,27148.25
2025-11-12,402.1499938964844,15696.0,3754.300048828125,8868.0,141.5698699951172,2395.0,207.2899932861328,11.65999984741211,25875.80078125,27485.150390625
2025-11-13,397.95001220703125,15749.0,3699.5,8867.5,149.3968048095703,2415.199951171875,203.25999450683594,11.710000038146973,25879.150390625,27382.80078125
2025-11-14,391.20001220703125,15684.0,3698.60009765625,8843.0,147.2612762451172,2356.10009765625,204.0800018310547,11.520000457763672,25910.05078125,27239.80078125
2025-11-17,372.70001220703125,15878.0,3734.89990234375,8945.5,147.4499969482422,2378.60009765625,199.0,11.239999771118164,26013.44921875,27472.650390625
2025-11-18,371.29998779296875,15930.0,3694.800048828125,8921.0,147.22999572753906,2389.800048828125,195.9600067138672,11.039999961853027,25910.05078125,27368.25
2025-11-19,360.8500061035156,15768.0,3722.5,8884.5,145.4600067138672,2421.10009765625,196.77999877929688,10.989999771118164,26052.650390625,27434.44921875
2025-11-20,359.79998779296875,15801.0,3716.699951171875,8979.5,146.24000549316406,2337.300048828125,191.25,10.760000228881836,26192.150390625,27554.0
2025-11-21,362.25,15977.0,3749.60009765625,8892.0,144.69000244140625,2335.89990234375,197.6199951171875,11.079999923706055,26068.150390625,27537.849609375
2025-11-24,358.29998779296875,15958.0,3690.800048828125,9007.5,144.58999633789062,2304.39990234375,199.05999755859375,11.140000343322754,25959.5,27442.19921875
2025-11-25,352.45001220703125,15889.0,3669.300048828125,9048.0,145.8300018310547,2300.800048828125,200.25999450683594,11.350000381469727,25884.80078125,27378.69921875
2025-11-26,359.25,16156.0,3686.39990234375,9164.0,148.9499969482422,2306.699951171875,202.44000244140625,11.3100004196167,26205.30078125,27696.400390625
2025-11-27,357.79998779296875,15903.0,3681.199951171875,9022.5,159.75,2315.5,,,26215.55078125,27603.650390625
2025-11-28,356.79998779296875,15900.0,3757.300048828125,9073.5,158.1199951171875,2326.0,201.8699951171875,11.489999771118164,26202.94921875,27774.599609375
2025-12-01,363.79998779296875,16097.0,3741.60009765625,9096.0,160.3000030517578,2395.699951171875,199.22000122070312,11.619999885559082,26175.75,27993.0
2025-12-02,361.75,16239.0,3716.5,9085.5,160.0,2382.5,196.99000549316406,11.829999923706055,26032.19921875,27979.5
2025-12-03,356.8500061035156,16082.0,3649.39990234375,9000.5,162.7100067138672,2385.199951171875,195.44000244140625,12.0600004196167,25986.0,27643.80078125
2025-12-04,356.45001220703125,15994.0,3671.60009765625,9085.0,160.2100067138672,2372.800048828125,198.27000427246094,12.357000350952148,26033.75,27732.69921875
2025-12-05,353.6000061035156,16282.0,3717.10009765625,9109.0,160.86000061035156,2309.5,196.55999755859375,12.510000228881836,26186.44921875,27939.099609375
2025-12-08,348.29998779296875,16187.0,3681.699951171875,9026.0,159.27999877929688,2275.0,195.2100067138672,12.470000267028809,25960.55078125,27596.80078125
2025-12-09,344.70001220703125,16020.0,3635.89990234375,8961.0,159.5800018310547,2282.0,196.33999633789062,12.479999542236328,25839.650390625,27399.25
2025-12-10,343.3999938964844,16019.0,3630.0,8991.0,158.00999450683594,2313.89990234375,200.77999877929688,12.520000457763672,25758.0,27358.25
2025-12-11,346.6499938964844,16248.0,3665.199951171875,9053.5,160.3300018310547,2342.300048828125,203.55999755859375,12.670000076293945,25898.55078125,27661.0
2025-12-12,347.45001220703125,16522.0,3679.60009765625,9015.0,163.86000061035156,2342.199951171875,208.1199951171875,12.800000190734863,26046.94921875,27820.849609375
2025-12-15,347.1499938964844,16415.0,3608.0,8940.0,166.82000732421875,2297.39990234375,214.80999755859375,12.75,26027.30078125,27568.099609375
2025-12-16,345.45001220703125,16354.0,3621.0,9008.0,167.75,2268.699951171875,214.4199981689453,12.609999656677246,25860.099609375,27542.19921875
2025-12-17,346.3500061035156,16398.0,3612.800048828125,8895.0,166.13999938964844,2286.39990234375,214.24000549316406,12.329999923706055,25818.55078125,27489.25
2025-12-18,345.79998779296875,16329.0,3586.60009765625,8831.0,171.57000732421875,2289.199951171875,216.0800018310547,12.300000190734863,25815.55078125,27321.900390625
2025-12-19,352.6499938964844,16414.0,3603.60009765625,9002.0,173.55999755859375,2317.300048828125,219.3800048828125,12.229999542236328,25966.400390625,27657.25
2025-12-22,359.1499938964844,16649.0,3616.699951171875,9164.0,177.0500030517578,2321.199951171875,219.50999450683594,12.28499984741211,26172.400390625,27885.30078125
2025-12-23,363.25,16585.0,3625.10009765625,9099.0,177.9600067138672,2314.5,219.24000549316406,12.25,26177.150390625,27892.05078125
2025-12-24,359.20001220703125,16703.0,3636.699951171875,9170.0,175.30999755859375,2307.89990234375,216.72999572753906,12.25,26142.099609375,27885.650390625
2025-12-26,358.79998779296875,16596.0,3623.10009765625,9064.5,174.67999267578125,2321.10009765625,216.6199951171875,12.180000305175781,26042.30078125,27739.849609375
2025-12-29,358.6000061035156,16542.0,3592.10009765625,9087.0,174.9199981689453,2321.300048828125,216.44000244140625,12.1899995803833,25942.099609375,27592.5
2025-12-30,361.75,16647.0,3660.300048828125,9282.0,178.6300048828125,2301.60009765625,214.85000610351562,12.265000343322754,25938.849609375,27889.650390625
2025-12-31,367.3500061035156,16697.0,3709.199951171875,9343.0,179.19000244140625,2298.0,214.05999755859375,12.1899995803833,26129.599609375,28189.599609375
