Date,Close,High,Low,Open,Volume,Regime,Returns
2020-06-24,489.5420837402344,501.22616605066975,486.88231479960587,493.9592424652638,7568963,COVID Crash,-0.002033345902286099
2020-06-25,481.84771728515625,490.4919803969052,478.14302895307736,484.3650036525109,5248401,COVID Crash,-0.01571747702728865
2020-06-26,476.2906799316406,489.44709976491,473.7259090295131,489.2096193671589,4079405,COVID Crash,-0.011532766793677651
2020-06-29,482.0377197265625,485.3624452728389,468.358825716152,469.35626077361854,4459947,COVID Crash,0.012066244495371414
2020-06-30,485.125,489.6846123407179,481.7052762498074,483.5101215934537,5487685,COVID Crash,0.006404644589200981
2020-07-01,473.9634399414063,495.28919352803206,469.4987963921306,488.0222693909096,8990865,Recovery,-0.02300759610119807
2020-07-02,503.1734924316406,505.35830055636825,479.1404581131012,481.1352993078957,16513522,Recovery,0.061629336840506976
2020-07-03,503.9333801269531,508.68298785670765,497.9488859831844,504.7883327097529,7982179,Recovery,0.0015101902360561414
2020-07-06,541.9778442382812,544.8276094954928,506.9257663617535,506.9257663617535,16728066,Recovery,0.07549502694531518
2020-07-07,531.9561157226562,539.5554888044085,524.0242932600236,536.7057238987514,9208254,Recovery,-0.018491029886489097
2020-07-08,523.644287109375,539.792954466943,521.5069634885205,535.7557876275511,5172833,Recovery,-0.015625026891531668
2020-07-09,532.2410278320312,536.0407139960702,520.604488954662,526.2565337193919,4123902,Recovery,0.0164171383786349
2020-07-10,527.0640258789062,540.4579564791657,524.3567722570699,527.4915022346222,5752443,Recovery,-0.009726799856471846
2020-07-13,528.013916015625,532.431074796372,521.6969719492779,531.956113980318,3165043,Recovery,0.001802229122229937
2020-07-14,517.8972778320312,526.2090919911797,511.057830585352,525.3066548581778,3097258,Recovery,-0.019159794612864656
2020-07-15,522.5994262695312,531.6711665585588,515.5699827694816,522.4569148285857,5671780,Recovery,0.009079307111216517
2020-07-16,544.63671875,548.071083449349,517.5908783901191,521.8361751902418,11751032,Recovery,0.042168612081680656
2020-07-17,561.7132568359375,564.0505604443458,539.4851449154801,545.6384354021588,9124092,Recovery,0.03135399707373754
2020-07-20,566.674072265625,570.10843729145,555.3692340138886,561.8087121078162,5771917,Recovery,0.008831579759450925
2020-07-21,561.2362670898438,570.013048690037,558.5650878795258,565.576940585028,3850519,Recovery,-0.009596001373488483
2020-07-22,564.7660522460938,583.845986443597,555.2260851473421,561.5224401415829,11559026,Recovery,0.006289303388308909
2020-07-23,575.5939331054688,580.9840381957588,557.611117118918,563.7644079866568,7605913,Recovery,0.019172329527088472
2020-07-24,571.1578979492188,573.3043907572753,562.9534905020186,566.7694777163413,3531702,Recovery,-0.007706883101280315
2020-07-27,567.0556640625,572.3980223131543,560.9500618668912,570.6331517019572,3345182,Recovery,-0.007182311408890807
2020-07-28,591.8118286132812,597.0111222654837,561.6655562321389,564.3844235318817,10289416,Recovery,0.04365737990063123
2020-07-29,577.0248413085938,596.1525204195515,573.3519775552879,591.4779136177679,5182915,Recovery,-0.02498596106018358
2020-07-30,570.8239135742188,586.5171712486525,568.8205437550736,578.1220117661628,4958267,Recovery,-0.010746379168550813
2020-07-31,578.55126953125,582.7488197786201,564.9091293294636,572.3026032326951,3962668,Recovery,0.013537197327011752
2020-08-03,569.6791381835938,591.9549372701919,566.8648363448194,581.93797217537,5002825,Recovery,-0.015335082325278693
2020-08-04,574.8783569335938,581.5563334712169,569.6791217825976,569.6791217825976,4889709,Recovery,0.00912657389311744
2020-08-05,585.992431640625,591.4779122786936,575.450780494673,578.0265830484502,3834812,Recovery,0.01933291551679539
2020-08-06,581.6041259765625,589.569975329644,577.6927044724381,589.569975329644,3857553,Recovery,-0.007488672936912133
2020-08-07,572.8272705078125,588.1389043028336,571.157776456669,582.0333027677191,7679198,Recovery,-0.015090772360001559
2020-08-10,599.968505859375,611.3210308570891,577.1679630369013,577.1679630369013,12341769,Recovery,0.04738118582849893
2020-08-11,600.5886840820312,611.1303372571308,593.7676417815998,601.0179942948537,5128836,Recovery,0.0010336846294423108
2020-08-12,605.740234375,618.7622547819433,595.627834117023,599.1099454668024,8891590,Recovery,0.008577501424028133
2020-08-13,602.4011840820312,615.6140141258772,599.4915060039544,605.9309832609769,5773589,Recovery,-0.005512346883171704
2020-08-14,586.1832885742188,608.5067765935206,579.6006880014731,604.8339125605472,3622823,Recovery,-0.026922084378911304
2020-08-17,594.9122924804688,602.9258876964826,585.5631368800093,599.1099010654923,5687622,Recovery,0.01489125342942077
2020-08-18,594.006103515625,603.6414474619315,590.1423700712933,596.2479726016709,3989439,Recovery,-0.0015232311994519687
2020-08-19,595.1985473632812,602.8305207445584,593.3859303942936,598.1559137575917,2762486,Recovery,0.0020074605977931093
2020-08-20,583.8937377929688,594.3400145415352,581.9380559716477,591.4780241023304,3165784,Recovery,-0.018993342003928992
2020-08-21,581.7471923828125,592.3842791780371,580.0300099199646,591.4779706420693,4191258,Recovery,-0.0036762603727690246
2020-08-24,574.25830078125,587.3757548482273,573.3519923093372,584.7999522223357,3707968,Recovery,-0.012873103127302277
2020-08-25,581.3179321289062,584.2276689775093,573.829080471053,577.1680693017241,4248590,Recovery,0.012293477234986305
2020-08-26,585.1338500976562,596.7249332429507,582.4149828054699,584.79997454505,5814785,Recovery,0.006564252980766128
2020-08-27,607.4573974609375,609.8900773954077,587.280344006989,590.6670788668116,7637436,Recovery,0.03815118089571401
2020-08-28,602.3535766601562,617.2359028031125,600.3978367231884,612.7044181998439,7809917,Recovery,-0.008401940320612256
2020-08-31,578.9806518554688,611.0349194193162,574.4014208657699,607.6959307886095,5012805,Recovery,-0.038802666258383245
2020-09-01,579.6007690429688,592.9567248155605,577.1680887441445,581.9380729486415,5572232,Recovery,0.0010710499314834365
2020-09-02,613.1813354492188,616.1864481320853,574.3536608667109,580.029952474718,7887097,Recovery,0.05793740829864302
2020-09-03,614.9939575195312,625.821796097045,602.9258767276409,611.0348481709715,9194655,Recovery,0.002956094658335573
2020-09-04,602.9259033203125,619.9070326227908,597.4881105847728,600.063913272906,5889085,Recovery,-0.01962304515623714
2020-09-07,582.3673095703125,604.690797889608,577.4542031696825,603.2121146185658,9387992,Recovery,-0.034098043618268625
2020-09-08,580.6023559570312,595.7709264547398,577.4541785595832,582.8919712791769,6825892,Recovery,-0.003030653651530435
2020-09-09,585.6586303710938,588.6159970165452,569.9176839354811,578.8852184836073,6589023,Recovery,0.008708670163296128
2020-09-10,587.1372680664062,595.1985516539596,584.7045881790546,591.000942973063,4699612,Recovery,0.0025247432866746244
2020-09-11,585.992431640625,593.2905291717713,583.9413155893703,586.6125527428184,2837723,Recovery,-0.0019498616218852627
2020-09-14,586.994140625,600.4455286363465,583.7505868766631,586.7079532688726,4918699,Recovery,0.0017094230749201689
2020-09-15,585.2293701171875,595.2940250816729,583.7983748645873,590.7625401151057,3805649,Recovery,-0.0030064533624364342
2020-09-16,610.0332641601562,619.9071077290624,587.6620276003558,587.6620276003558,18993356,Recovery,0.0423832010310794
2020-09-17,607.505126953125,613.8969169098536,598.7760915092266,601.9719573739202,6363964,Recovery,-0.00414426123223266
2020-09-18,624.0569458007812,629.0654283249373,605.3585761075303,610.5578696114072,13518207,Recovery,0.027245562404831114
2020-09-21,593.8152465820312,635.9341651719354,587.1372698054935,626.7758203121897,9301954,Recovery,-0.048459839157697804
2020-09-22,587.47119140625,595.5324756496186,575.2600445602243,593.8152931322204,5369370,Recovery,-0.010683550502108674
2020-09-23,584.4183959960938,594.6738612382347,575.4985495182846,593.4336770869791,4116481,Recovery,-0.005196502321839214
2020-09-24,548.6434326171875,578.5035733912363,541.3930815994756,577.1679548329212,8991885,Recovery,-0.06121464283808298
2020-09-25,565.05224609375,568.0573590552555,550.0744859314736,557.0387085753003,5415792,Recovery,0.029907973924498954
2020-09-28,586.946533203125,589.5700244120784,565.8154807200716,567.6280979371952,5494528,Recovery,0.038747367629687224
2020-09-29,584.9907836914062,597.6789280606339,575.3553821573784,586.946465266249,5747565,Recovery,-0.003332074390227202
2020-09-30,579.9346313476562,594.3399585776228,577.6927041116422,587.6142933242588,4990827,Recovery,-0.008643131626526968
2020-10-01,582.0811157226562,593.2905770617905,580.1731223032292,586.4217891063853,3842191,Recovery,0.003701252277367839
2020-10-05,579.075927734375,587.9003961553683,569.6313382415146,586.7079004228017,5977261,Recovery,-0.005162833679203449
2020-10-06,598.53759765625,603.8799562850546,580.9840337718772,583.4644020865346,9071955,Recovery,0.033608148758693
2020-10-07,602.5443115234375,607.6005407755374,596.2479563948438,600.9225636639152,6086867,Recovery,0.006694172400993681
2020-10-08,604.9769897460938,611.4641552225936,598.7282652011561,604.9769897460938,4683786,Recovery,0.004037343272738969
2020-10-09,604.0707397460938,617.6651931185415,599.3961324884917,604.9770482830581,4972397,Recovery,-0.0014979908580992074
2020-10-12,605.2155151367188,610.2716858789921,601.0179064672826,608.5545035059814,3247640,Recovery,0.0018951015424222284
2020-10-13,599.0145874023438,612.4659183938899,595.6278523309096,605.1678199071384,3769222,Recovery,-0.010245817529932588
2020-10-14,595.1507568359375,598.9190550591086,587.9480941366769,594.721504946925,2776984,Recovery,-0.006450311307378942
2020-10-15,588.902099609375,603.8798581310783,585.8492987916819,592.384210549879,3794955,Recovery,-0.010499284685081989
2020-10-16,578.7420654296875,595.2461950996426,574.3536460972803,589.0929053336866,4274910,Recovery,-0.017252501199141124
2020-10-19,569.96533203125,586.2309638916452,567.8188394864881,584.513781501303,3646287,Recovery,-0.01516519002627048
2020-10-20,574.5444946289062,580.983972152767,563.1442227745301,569.9176340693629,4377671,Recovery,0.008034107234797805
2020-10-21,573.208984375,582.7012646836566,564.9569465539638,578.9807119028355,3684706,Recovery,-0.002324467933103813
2020-10-22,576.5478515625,579.028277786431,566.7693859097363,572.207178454789,3818694,Recovery,0.005824868902116975
2020-10-23,596.3910522460938,599.1099195134606,577.501871259182,581.6994799734596,6421723,Recovery,0.03441726585194416
2020-10-26,569.6791381835938,597.0587961942382,567.2464000786966,596.2002341225123,4800537,Recovery,-0.04478926027125851
2020-10-27,569.6791381835938,577.1679887968834,566.197027026364,572.7796273796101,5712121,Recovery,0.0
2020-10-28,576.357177734375,584.8000259436026,566.8648981310944,571.444071028088,6811118,Recovery,0.011722457613726256
