Date,Tata Motors CV_Close,Tata Motors CV_Volume,Tata Motors CV_Returns,Tata Motors PV_Close,Tata Motors PV_Volume,Tata Motors PV_Returns,Maruti Suzuki_Close,Maruti Suzuki_Volume,Maruti Suzuki_Returns,NIFTY 50_Close,NIFTY 50_Volume,NIFTY 50_Returns,NIFTY Auto_Close,NIFTY Auto_Volume,NIFTY Auto_Returns,Regime
2025-10-31,410.0,8012169,-0.00594014337379023,410.0,8012169.0,-0.0059401433737901,16186.0,719402,-0.0012341108231519,25722.099609375,334400,-0.0060186608373972,26809.849609375,391600.0,-0.0007343086746263,Oct 2024 Crash
2025-11-03,417.0,8952229,0.017073170731707332,417.0,8952229.0,0.0170731707317073,15651.0,942850,-0.0330532559001606,25763.349609375,23300,0.0016036793506921,26841.80078125,37300.0,0.0011917699032457,Oct 2024 Crash
2025-11-04,406.5,8889004,-0.025179856115107868,406.5,8889004.0,-0.0251798561151078,15374.0,748848,-0.0176985496134431,25597.650390625,305100,-0.0064315867797603,26610.05078125,399300.0,-0.0086339214678131,Oct 2024 Crash
2025-11-06,407.8500061035156,6862359,0.003321048225130685,407.8500061035156,6862359.0,0.0033210482251306,15452.0,429800,0.0050735007154936,25509.69921875,371900,-0.0034359080045569,26626.5,464000.0,0.0006181581119564,Oct 2024 Crash
2025-11-07,405.7000122070313,6930046,-0.005271530867498986,405.7000122070313,6930046.0,-0.005271530867499,15479.0,227247,0.0017473466217965,25492.30078125,305600,-0.0006820322478444,26779.55078125,277800.0,0.0057480623157379,Oct 2024 Crash
2025-11-10,410.4500122070313,7913640,0.011708158385699052,410.4500122070313,7913640.0,0.011708158385699,15583.0,274191,0.006718780282964,25574.349609375,243600,0.0032185728871263,26859.849609375,405100.0,0.0029985128869758,Oct 2024 Crash
2025-11-11,407.6000061035156,8120946,-0.006943613153258088,407.6000061035156,8120946.0,-0.0069436131532579,15645.0,181524,0.0039786947314381,25694.94921875,297700,0.0047156471705849,27148.25,567900.0,0.010737230283089,Oct 2024 Crash
2025-11-12,402.1499938964844,12940220,-0.01337098166197559,402.1499938964844,12940220.0,-0.0133709816619755,15696.0,244015,0.0032598274209012,25875.80078125,312600,0.0070384090258497,27485.150390625,724700.0,0.0124096540522868,Oct 2024 Crash
2025-11-13,397.9500122070313,13165720,-0.010443818856638254,397.9500122070313,13165720.0,-0.0104438188566383,15749.0,250711,0.0033766564729866,25879.150390625,385200,0.0001294494962036,27382.80078125,1189100.0,-0.0037238147843612,Oct 2024 Crash
2025-11-14,391.2000122070313,21834850,-0.01696192937038621,391.2000122070313,21834850.0,-0.0169619293703862,15684.0,253698,-0.0041272461743602,25910.05078125,518900,0.0011940264714482,27239.80078125,1189500.0,-0.0052222561578841,Oct 2024 Crash
2025-11-17,372.7000122070313,32393340,-0.04729038707240485,372.7000122070313,32393340.0,-0.0472903870724048,15878.0,301069,0.0123692935475643,26013.44921875,281800,0.0039906690408659,27472.650390625,663400.0,0.008548139218965,Oct 2024 Crash
2025-11-18,371.2999877929688,17484750,-0.0037564378003959176,371.2999877929688,17484750.0,-0.0037564378003959,15930.0,392903,0.0032749716588991,25910.05078125,280000,-0.0039748069020186,27368.25,478600.0,-0.0038001572160153,Oct 2024 Crash
2025-11-19,360.8500061035156,17854510,-0.028144309272856605,360.8500061035156,17854510.0,-0.0281443092728563,15768.0,286434,-0.0101694915254236,26052.650390625,250100,0.0055036406751542,27434.44921875,707800.0,0.0024188327258776,Oct 2024 Crash
2025-11-20,359.79998779296875,15999030,-0.0029098470078607885,359.79998779296875,15999030.0,-0.0029098470078607,15801.0,249492,0.0020928462709284,26192.150390625,240400,0.0053545415882216,27554.0,486400.0,0.0043576884047045,Oct 2024 Crash
2025-11-21,362.25,10829320,0.006809372679692727,362.25,10829320.0,0.0068093726796927,15977.0,586351,0.0111385355357256,26068.150390625,235600,-0.0047342428227803,27537.849609375,439400.0,-0.0005861359739057,Oct 2024 Crash
2025-11-24,358.29998779296875,12671920,-0.010904105471445824,358.29998779296875,12671920.0,-0.0109041054714458,15958.0,525788,-0.0011892094886398,25959.5,464700,-0.004167936312968,27442.19921875,1040100.0,-0.0034734153894295,Oct 2024 Crash
2025-11-25,352.45001220703125,12577560,-0.016327032613011716,352.45001220703125,12577560.0,-0.0163270326130117,15889.0,214525,-0.0043238501065296,25884.80078125,260500,-0.002877529180069,27378.69921875,543600.0,-0.0023139544864397,Oct 2024 Crash
2025-11-26,359.25,13130210,0.019293481507880905,359.25,13130210.0,0.0192934815078809,16156.0,314946,0.0168040782931588,26205.30078125,275300,0.0123817835303625,27696.400390625,504800.0,0.0116039542031063,Oct 2024 Crash
2025-11-27,357.79998779296875,8871759,-0.004036220478862207,357.79998779296875,8871759.0,-0.0040362204788622,15903.0,339986,-0.0156598167863332,26215.55078125,240300,0.0003911422381892,27603.650390625,1492000.0,-0.0033488106285246,Oct 2024 Crash
2025-11-28,356.79998779296875,10905210,-0.002794857557621322,356.79998779296875,10905210.0,-0.0027948575576213,15900.0,352340,-0.0001886436521411,26202.94921875,202500,-0.0004806903583736,27774.599609375,695400.0,0.0061929931849904,Oct 2024 Crash
2025-12-01,363.7999877929688,12714130,0.019618834751927716,363.7999877929688,12714130.0,0.0196188347519274,16097.0,434052,0.0123899371069182,26175.75,213800,-0.0010380212747401,27993.0,603300.0,0.0078633137361692,Oct 2024 Crash
2025-12-02,361.75,8576018,-0.00563493090091971,361.75,8576018.0,-0.0056349309009194,16239.0,383165,0.008821519537802,26032.19921875,254800,-0.0054841133969418,27979.5,868400.0,-0.0004822634229986,Oct 2024 Crash
2025-12-03,356.8500061035156,9504331,-0.013545249195533904,356.8500061035156,9504331.0,-0.0135452491955339,16082.0,264397,-0.0096680830100375,25986.0,265700,-0.0017746951904364,27643.80078125,625800.0,-0.0119980420933183,Oct 2024 Crash
2025-12-04,356.45001220703125,9173145,-0.0011209020306653938,356.45001220703125,9173145.0,-0.0011209020306653,15994.0,248812,-0.0054719562243502,26033.75,248100,0.0018375278996383,27732.69921875,431900.0,0.0032158543683435,Oct 2024 Crash
2025-12-05,353.6000061035156,5667381,-0.007995528141152897,353.6000061035156,5667381.0,-0.0079955281411528,16282.0,332032,0.0180067525321996,26186.44921875,249300,0.0058654330916598,27939.099609375,321300.0,0.0074424919477529,Oct 2024 Crash
2025-12-08,348.29998779296875,7186158,-0.014988739307304488,348.29998779296875,7186158.0,-0.0149887393073044,16187.0,220513,-0.0058346640461859,25960.55078125,320700,-0.0086265394598917,27596.80078125,332800.0,-0.0122516055603359,Oct 2024 Crash
2025-12-09,344.70001220703125,9143402,-0.010335847579981405,344.70001220703125,9143402.0,-0.0103358475799814,16020.0,276388,-0.0103169209859763,25839.650390625,276000,-0.0046570811090926,27399.25,465800.0,-0.0071584667663442,Oct 2024 Crash
2025-12-10,343.3999938964844,8705054,-0.0037714484029842676,343.3999938964844,8705054.0,-0.0037714484029842,16019.0,293374,-6.242197253436554e-05,25758.0,207900,-0.0031598875909956,27358.25,346700.0,-0.00149639132458,Oct 2024 Crash
2025-12-11,346.6499938964844,6756893,0.009464181880503242,346.6499938964844,6756893.0,0.0094641818805032,16248.0,268701,0.0142955240651725,25898.55078125,206100,0.0054565875164998,27661.0,557300.0,0.0110661317884002,Oct 2024 Crash
2025-12-12,347.45001220703125,7241621,0.0023078561218314864,347.45001220703125,7241621.0,0.0023078561218314,16522.0,404711,0.0168636139832594,26046.94921875,216300,0.0057299900196514,27820.849609375,426200.0,0.0057788803504934,Oct 2024 Crash
2025-12-15,347.1499938964844,8169383,-0.0008634862570334745,347.1499938964844,8169383.0,-0.0008634862570334,16415.0,225221,-0.0064762135334704,26027.30078125,181600,-0.0007543469807149,27568.099609375,390200.0,-0.0090849130615633,Oct 2024 Crash
2025-12-16,345.45001220703125,8391226,-0.004896965920615948,345.45001220703125,8391226.0,-0.0048969659206159,16354.0,156134,-0.003716113310996,25860.099609375,264400,-0.0064240688375742,27542.19921875,356700.0,-0.0009395058416066,Oct 2024 Crash
2025-12-17,346.3500061035156,7045390,0.0026052796777584764,346.3500061035156,7045390.0,0.0026052796777584,16398.0,257406,0.0026904732787085,25818.55078125,206500,-0.0016066770334456,27489.25,264000.0,-0.0019224760640738,Oct 2024 Crash
2025-12-18,345.79998779296875,15417500,-0.0015880418676317287,345.79998779296875,15417500.0,-0.0015880418676317,16329.0,213981,-0.0042078302231979,25815.55078125,197600,-0.0001161955225689,27321.900390625,593200.0,-0.0060878201251398,Oct 2024 Crash
2025-12-19,352.6499938964844,74052760,0.019809156579891907,352.6499938964844,74052760.0,0.0198091565798919,16414.0,360190,0.0052054626737705,25966.400390625,382900,0.0058433620360547,27657.25,1213600.0,0.0122740221060928,Oct 2024 Crash
2025-12-22,359.1499938964844,10798310,0.018431873280871258,359.1499938964844,10798310.0,0.0184318732808712,16649.0,271590,0.0143170464237845,26172.400390625,253000,0.0079333291061156,27885.30078125,463600.0,0.0082456058086035,Oct 2024 Crash
2025-12-23,363.25,11885570,0.01141586015089091,363.25,11885570.0,0.0114158601508909,16585.0,215650,-0.0038440747192023,26177.150390625,216600,0.0001814888939914,27892.05078125,349000.0,0.0002420630156709,Oct 2024 Crash
2025-12-24,359.20001220703125,9212351,-0.011149312575275294,359.20001220703125,9212351.0,-0.0111493125752752,16703.0,258486,0.0071148628278565,26142.099609375,188800,-0.0013389838361685,27885.650390625,296400.0,-0.0002294700621047,Oct 2024 Crash
2025-12-26,358.79998779296875,8589856,-0.0011136536761361393,358.79998779296875,8589856.0,-0.0011136536761361,16596.0,212925,-0.00640603484404,26042.30078125,142200,-0.003817552133005,27739.849609375,305000.0,-0.0052285236029143,Oct 2024 Crash
2025-12-29,358.6000061035156,10050260,-0.000557362587115029,358.6000061035156,10050260.0,-0.000557362587115,16542.0,251796,-0.0032537960954447,25942.099609375,234300,-0.0038476313101776,27592.5,361300.0,-0.005311838796891,Oct 2024 Crash
2025-12-30,361.75,13807060,0.008784143454741322,361.75,13807060.0,0.0087841434547413,16647.0,1055843,0.006347479143997,25938.849609375,396900,-0.0001252789885528,27889.650390625,959200.0,0.0107692449261573,Oct 2024 Crash
2025-12-31,367.3500061035156,10439180,0.015480320949593951,367.3500061035156,10439180.0,0.0154803209495939,16697.0,314427,0.0030035441821349,26129.599609375,246300,0.007353834224439,28189.599609375,352900.0,0.0107548576102203,Oct 2024 Crash
2026-01-01,367.5499877929688,7214281,0.000544390053438093,367.5499877929688,7214281.0,0.0005443900534378,16708.0,171293,0.0006588009822123,26146.55078125,425600,0.0006487344669803,28189.599609375,352900.0,0.0107548576102203,Oct 2024 Crash
2026-01-02,370.3500061035156,7077536,0.007618061225794337,370.3500061035156,7077536.0,0.0076180612257945,16960.0,388562,0.0150825951639932,26328.55078125,357500,0.0069607651702385,28803.650390625,605400.0,0.0217828841047384,Oct 2024 Crash
2026-01-05,373.5499877929688,9591926,0.00864042564254408,373.5499877929688,9591926.0,0.0086404256425438,17155.0,305668,0.0114976415094338,26250.30078125,338800,-0.002972058760474,28894.150390625,498600.0,0.0031419628683402,Oct 2024 Crash
