Date,Adj Close,Close,High,Low,Open,Volume
2025-11-17,372.70001220703125,372.70001220703125,386.45001220703125,363.1499938964844,386.45001220703125,3093410
2025-11-18,371.25,371.25,374.20001220703125,369.04998779296875,374.20001220703125,1444359
2025-11-19,360.8999938964844,360.8999938964844,371.25,360.29998779296875,371.25,751399
2025-11-20,359.75,359.75,364.5,359.20001220703125,361.54998779296875,1243651
2025-11-21,362.25,362.25,364.20001220703125,357.95001220703125,359.3999938964844,487124
2025-11-24,358.25,358.25,362.79998779296875,356.6499938964844,362.25,913715
2025-11-25,352.45001220703125,352.45001220703125,358.0,351.8500061035156,357.29998779296875,382024
2025-11-26,359.20001220703125,359.20001220703125,362.79998779296875,354.20001220703125,354.20001220703125,2384109
2025-11-27,357.95001220703125,357.95001220703125,362.75,356.45001220703125,362.70001220703125,585125
2025-11-28,356.8500061035156,356.8500061035156,359.8999938964844,355.0,357.45001220703125,706572
2025-12-01,363.75,363.75,365.0,358.6000061035156,358.6000061035156,2459479
2025-12-02,361.6000061035156,361.6000061035156,364.6499938964844,359.6000061035156,364.6499938964844,379732
2025-12-03,356.54998779296875,356.54998779296875,362.5,354.1000061035156,362.5,2407435
2025-12-04,356.45001220703125,356.45001220703125,359.45001220703125,354.45001220703125,356.6000061035156,341354
2025-12-05,353.5,353.5,356.79998779296875,353.0,355.0,626338
2025-12-08,348.1000061035156,348.1000061035156,356.25,345.79998779296875,351.54998779296875,364369
2025-12-09,344.6499938964844,344.6499938964844,348.8500061035156,341.8999938964844,348.5,345077
2025-12-10,343.29998779296875,343.29998779296875,347.3999938964844,342.0,346.25,351903
2025-12-11,346.6499938964844,346.6499938964844,348.1499938964844,341.5,343.1499938964844,449310
2025-12-12,347.45001220703125,347.45001220703125,349.45001220703125,344.8999938964844,348.1499938964844,579026
2025-12-15,347.1000061035156,347.1000061035156,348.70001220703125,343.0,347.0,549499
2025-12-16,345.5,345.5,349.3500061035156,344.20001220703125,347.29998779296875,288448
